gene_id,gene_symbol,chr,gene_length
gene_2066,C18orf21,chr18,1547
gene_2067,C18orf22,chr18,6409
gene_2068,C18orf25,chr18,5465
gene_2069,C18orf26,chr18,2027
gene_2070,C18orf2,chr18,3718
gene_2071,C18orf32,chr18,1721
gene_2072,C18orf34,chr18,3762
gene_2073,C18orf45,chr18,3798
gene_2074,C18orf54,chr18,7199
gene_2075,C18orf55,chr18,1534
gene_2076,C18orf56,chr18,844
gene_2077,C18orf62,chr18,3544
gene_2078,C18orf8,chr18,2328
gene_2079,C19orf10,chr19,1051
gene_2080,C19orf12,chr19,9097
gene_2081,C19orf18,chr19,915
gene_2082,C19orf20,chr19,1114
gene_2083,C19orf21,chr19,2851
gene_2084,C19orf22,chr19,1809
gene_2085,C19orf23,chr19,1356
gene_2086,C19orf24,chr19,978
gene_2087,C19orf25,chr19,2571
gene_2088,C19orf26,chr19,2564
gene_2089,C19orf28,chr19,3091
gene_2090,C19orf29,chr19,5633
gene_2091,C19orf2,chr19,4756
gene_2092,C19orf30,chr19,1088
gene_2093,C19orf33,chr19,583
gene_2094,C19orf34,chr19,1313
gene_2095,C19orf35,chr19,2570
gene_2096,C19orf36,chr19,2164
gene_2097,C19orf38,chr19,1089
gene_2098,C19orf39,chr19,1662
gene_2099,C19orf40,chr19,1138
gene_2100,C19orf41,chr19,814
gene_2101,C19orf42,chr19,1730
gene_2102,C19orf43,chr19,910
gene_2103,C19orf44,chr19,5326
gene_2104,C19orf45,chr19,2416
gene_2105,C19orf46,chr19,2003
gene_2106,C19orf47,chr19,2417
gene_2107,C19orf48,chr19,1990
gene_2108,C19orf50,chr19,2416
gene_2109,C19orf51,chr19,3404
gene_2110,C19orf52,chr19,1396
gene_2111,C19orf53,chr19,909
gene_2112,C19orf54,chr19,4620
gene_2113,C19orf55,chr19,3697
gene_2114,C19orf56,chr19,861
gene_2115,C19orf57,chr19,2513
gene_2116,C19orf59,chr19,1308
gene_2117,C19orf60,chr19,3257
gene_2118,C19orf61,chr19,3454
gene_2119,C19orf62,chr19,3230
gene_2120,C19orf63,chr19,2358
gene_2121,C19orf66,chr19,3650
gene_2122,C19orf69,chr19,946
gene_2123,C19orf6,chr19,2814
gene_2124,C19orf70,chr19,900
gene_2125,C19orf71,chr19,671
gene_2126,C19orf73,chr19,744
gene_2127,C19orf75,chr19,2395
gene_2128,C19orf76,chr19,2112
gene_2129,C19orf77,chr19,908
gene_2130,C1D,chr2,1497
gene_2131,C1GALT1C1,chrX,1904
gene_2132,C1GALT1,chr7,8224
gene_2133,C1QA,chr1,1098
gene_2134,C1QBP,chr17,1163
gene_2135,C1QB,chr1,1044
gene_2136,C1QC,chr1,1281
gene_2137,C1QL1,chr17,1500
gene_2138,C1QL2,chr2,2049
gene_2139,C1QL3,chr10,2493
gene_2140,C1QL4,chr12,2065
gene_2141,C1QTNF1,chr17,4173
gene_2142,C1QTNF2,chr5,2397
gene_2143,C1QTNF3,chr5,4816
gene_2144,C1QTNF4,chr11,1414
gene_2145,C1QTNF6,chr22,8895
gene_2146,C1QTNF7,chr4,4839
gene_2147,C1QTNF8,chr16,3406
gene_2148,C1QTNF9B,chr13,2028
gene_2149,C1QTNF9,chr13,1826
gene_2150,C1RL,chr12,4001
gene_2151,C1R,chr12,3421
gene_2152,C1S,chr12,3643
gene_2153,C1orf100,chr1,651
gene_2154,C1orf101,chr1,3857
gene_2155,C1orf103,chr1,3765
gene_2156,C1orf104,chr1,1306
gene_2157,C1orf105,chr1,985
gene_2158,C1orf106,chr1,4408
gene_2159,C1orf107,chr1,8695
gene_2160,C1orf109,chr1,3723
gene_2161,C1orf110,chr1,2552
gene_2162,C1orf111,chr1,1173
gene_2163,C1orf112,chr1,6474
gene_2164,C1orf113,chr1,4580
gene_2165,C1orf114,chr1,2999
gene_2166,C1orf115,chr1,2972
gene_2167,C1orf116,chr1,5502
gene_2168,C1orf122,chr1,1824
gene_2169,C1orf123,chr1,1084
gene_2170,C1orf124,chr1,7300
gene_2171,C1orf125,chr1,6079
gene_2172,C1orf126,chr1,7100
gene_2173,C1orf127,chr1,3043
gene_2174,C1orf128,chr1,1622
gene_2175,C1orf129,chr1,4057
gene_2176,C1orf130,chr1,3990
gene_2177,C1orf131,chr1,6037
gene_2178,C1orf133,chr1,800
gene_2179,C1orf135,chr1,2061
gene_2180,C1orf141,chr1,2533
gene_2181,C1orf144,chr1,4972
gene_2182,C1orf146,chr1,870
gene_2183,C1orf14,chr1,2942
gene_2184,C1orf150,chr1,3092
gene_2185,C1orf151,chr1,4231
gene_2186,C1orf152,chr1,1913
gene_2187,C1orf156,chr1,1475
gene_2188,C1orf157,chr1,2467
gene_2189,C1orf158,chr1,1475
gene_2190,C1orf159,chr1,3807
gene_2191,C1orf161,chr1,3229
gene_2192,C1orf162,chr1,917
gene_2193,C1orf163,chr1,2114
gene_2194,C1orf168,chr1,4422
gene_2195,C1orf170,chr1,3183
gene_2196,C1orf172,chr1,1803
gene_2197,C1orf173,chr1,8103
gene_2198,C1orf174,chr1,3199
gene_2199,C1orf175,chr1,6475
gene_2200,C1orf177,chr1,1789
gene_2201,C1orf180,chr1,2932
gene_2202,C1orf182,chr1,871
gene_2203,C1orf183,chr1,6077
gene_2204,C1orf185,chr1,911
gene_2205,C1orf186,chr1,1244
gene_2206,C1orf187,chr1,1773
gene_2207,C1orf189,chr1,705
gene_2208,C1orf190,chr1,1849
gene_2209,C1orf192,chr1,783
gene_2210,C1orf194,chr1,880
gene_2211,C1orf198,chr1,5128
gene_2212,C1orf200,chr1,1823
gene_2213,C1orf201,chr1,4369
gene_2214,C1orf203,chr1,2635
gene_2215,C1orf204,chr1,2501
gene_2216,C1orf210,chr1,1540
gene_2217,C1orf212,chr1,6434
gene_2218,C1orf213,chr1,3559
gene_2219,C1orf216,chr1,2934
gene_2220,C1orf21,chr1,10308
gene_2221,C1orf220,chr1,2577
gene_2222,C1orf223,chr1,1330
gene_2223,C1orf226,chr1,4580
gene_2224,C1orf227,chr1,504
gene_2225,C1orf228,chr1,1685
gene_2226,C1orf229,chr1,2258
gene_2227,C1orf230,chr1,1856
gene_2228,C1orf25,chr1,4522
gene_2229,C1orf26,chr1,3951
gene_2230,C1orf27,chr1,3986
gene_2231,C1orf31,chr1,856
gene_2232,C1orf35,chr1,1470
gene_2233,C1orf38,chr1,4302
gene_2234,C1orf43,chr1,2816
gene_2235,C1orf49,chr1,4766
gene_2236,C1orf50,chr1,1015
gene_2237,C1orf51,chr1,2416
gene_2238,C1orf52,chr1,3419
gene_2239,C1orf53,chr1,683
gene_2240,C1orf54,chr1,738
gene_2241,C1orf55,chr1,4009
gene_2242,C1orf56,chr1,2028
gene_2243,C1orf57,chr1,902
gene_2244,C1orf58,chr1,2038
gene_2245,C1orf59,chr1,2216
gene_2246,C1orf61,chr1,5031
gene_2247,C1orf63,chr1,3311
gene_2248,C1orf64,chr1,921
gene_2249,C1orf65,chr1,2098
gene_2250,C1orf66,chr1,2269
gene_2251,C1orf68,chr1,908
gene_2252,C1orf69,chr1,7965
gene_2253,C1orf70,chr1,1117
gene_2254,C1orf74,chr1,1561
gene_2255,C1orf77,chr1,5982
gene_2256,C1orf83,chr1,6125
gene_2257,C1orf84,,
gene_2258,C1orf85,chr1,2125
gene_2259,C1orf86,chr1,4637
gene_2260,C1orf87,chr1,3381
gene_2261,C1orf88,chr1,2346
gene_2262,C1orf89,chr1,1560
gene_2263,C1orf91,chr1,4382
gene_2264,C1orf92,chr1,2486
gene_2265,C1orf93,chr1,3510
gene_2266,C1orf94,chr1,3153
gene_2267,C1orf95,chr1,7705
gene_2268,C1orf96,chr1,5942
gene_2269,C1orf97,chr1,758
gene_2270,C1orf9,chr1,6729
gene_2271,C20orf103,chr20,2042
gene_2272,C20orf106,chr20,678
gene_2273,C20orf107,chr20,1021
gene_2274,C20orf108,chr20,3033
gene_2275,C20orf111,chr20,2242
gene_2276,C20orf112,chr20,9223
gene_2277,C20orf114,chr20,3195
gene_2278,C20orf117,chr20,8951
gene_2279,C20orf118,chr20,2243
gene_2280,C20orf11,chr20,4427
gene_2281,C20orf123,chr20,1958
gene_2282,C20orf12,chr20,5794
gene_2283,C20orf132,chr20,3783
gene_2284,C20orf134,chr20,2028
gene_2285,C20orf135,chr20,1776
gene_2286,C20orf141,chr20,1051
gene_2287,C20orf144,chr20,570
gene_2288,C20orf151,chr20,2833
gene_2289,C20orf152,chr20,4254
gene_2290,C20orf160,chr20,3017
gene_2291,C20orf165,chr20,719
gene_2292,C20orf166,chr20,1220
gene_2293,C20orf173,chr20,2947
gene_2294,C20orf177,chr20,9518
gene_2295,C20orf185,chr20,1454
gene_2296,C20orf186,chr20,2174
gene_2297,C20orf191,chr20,419
gene_2298,C20orf194,chr20,7749
gene_2299,C20orf195,chr20,1111
gene_2300,C20orf196,chr20,1155
gene_2301,C20orf197,chr20,2732
gene_2302,C20orf199,chr20,1323
gene_2303,C20orf200,chr20,4761
gene_2304,C20orf201,chr20,868
gene_2305,C20orf202,chr20,1604
gene_2306,C20orf203,chr20,5103
gene_2307,C20orf20,chr20,1636
gene_2308,C20orf24,chr20,1383
gene_2309,C20orf26,chr20,5235
gene_2310,C20orf27,chr20,4476
gene_2311,C20orf29,chr20,3433
gene_2312,C20orf30,chr20,3134
gene_2313,C20orf3,chr20,2245
gene_2314,C20orf43,chr20,2182
gene_2315,C20orf46,chr20,1970
gene_2316,C20orf4,chr20,2852
gene_2317,C20orf54,chr20,4439
gene_2318,C20orf56,chr20,4911
gene_2319,C20orf70,chr20,1052
gene_2320,C20orf71,chr20,1109
gene_2321,C20orf72,chr20,2264
gene_2322,C20orf79,chr20,666
gene_2323,C20orf7,chr20,2458
gene_2324,C20orf85,chr20,757
gene_2325,C20orf94,chr20,1407
gene_2326,C20orf96,chr20,2888
gene_2327,C21orf119,chr21,825
gene_2328,C21orf121,,
gene_2329,C21orf122,chr21,2256
gene_2330,C21orf125,chr21,3002
gene_2331,C21orf128,chr21,2141
gene_2332,C21orf129,chr21,2195
gene_2333,C21orf130,chr21,2019
gene_2334,C21orf131,chr21,2454
gene_2335,C21orf15,chr21,1279
gene_2336,C21orf29,chr21,4029
gene_2337,C21orf2,chr21,6489
gene_2338,C21orf33,chr21,1667
gene_2339,C21orf34,chr21,3802
gene_2340,C21orf45,chr21,1571
gene_2341,C21orf49,chr21,1559
gene_2342,C21orf54,chr21,595
gene_2343,C21orf56,chr21,3191
gene_2344,C21orf57,chr21,2096
gene_2345,C21orf58,chr21,6039
gene_2346,C21orf59,chr21,3515
gene_2347,C21orf62,chr21,4121
gene_2348,C21orf63,chr21,3329
gene_2349,C21orf67,chr21,2348
gene_2350,C21orf70,chr21,990
gene_2351,C21orf71,chr21,450
gene_2352,C21orf7,chr21,3169
gene_2353,C21orf81,chr21,2900
gene_2354,C21orf82,chr21,1807
gene_2355,C21orf84,chr21,579
gene_2356,C21orf88,chr21,2192
gene_2357,C21orf90,chr21,1045
gene_2358,C21orf91,chr21,10045
gene_2359,C21orf94,chr21,583
gene_2360,C21orf96,chr21,1491
gene_2361,C21orf99,chr21,5910
gene_2362,C22orf13,chr22,4718
gene_2363,C22orf15,chr22,1098
gene_2364,C22orf23,chr22,2040
gene_2365,C22orf24,chr22,1374
gene_2366,C22orf25,chr22,7031
gene_2367,C22orf26,chr22,1836
gene_2368,C22orf27,chr22,2310
gene_2369,C22orf28,chr22,2131
gene_2370,C22orf29,chr22,7129
gene_2371,C22orf30,chr22,13275
gene_2372,C22orf31,chr22,1070
gene_2373,C22orf32,chr22,1571
gene_2374,C22orf33,chr22,1497
gene_2375,C22orf34,chr22,1471
gene_2376,C22orf36,chr22,1823
gene_2377,C22orf39,chr22,2785
gene_2378,C22orf40,chr22,1615
gene_2379,C22orf41,chr22,578
gene_2380,C22orf42,chr22,805
gene_2381,C22orf43,chr22,1300
gene_2382,C22orf45,chr22,3761
gene_2383,C22orf46,chr22,4975
gene_2384,C22orf9,chr22,7037
gene_2385,C2CD2L,chr11,3478
gene_2386,C2CD2,chr21,8320
gene_2387,C2CD3,chr11,8997
gene_2388,C2CD4A,chr15,3445
gene_2389,C2CD4B,chr15,1576
gene_2390,C2CD4C,chr19,3124
gene_2391,C2CD4D,chr1,1713
gene_2392,C2orf14,chr2,4009
gene_2393,C2orf15,chr2,1408
gene_2394,C2orf16,chr2,6201
gene_2395,C2orf18,chr2,3912
gene_2396,C2orf24,chr2,2475
gene_2397,C2orf27A,chr2,1219
gene_2398,C2orf27B,chr2,1325
gene_2399,C2orf28,chr2,1515
gene_2400,C2orf29,chr2,2518
gene_2401,C2orf34,chr2,2249
gene_2402,C2orf39,chr2,2491
gene_2403,C2orf3,chr2,5423
gene_2404,C2orf40,chr2,782
gene_2405,C2orf42,chr2,2524
gene_2406,C2orf43,chr2,4578
gene_2407,C2orf44,chr2,3894
gene_2408,C2orf47,chr2,1511
gene_2409,C2orf48,chr2,728
gene_2410,C2orf49,chr2,1137
gene_2411,C2orf50,chr2,3161
gene_2412,C2orf51,chr2,796
gene_2413,C2orf52,chr2,1282
gene_2414,C2orf53,chr2,2063
gene_2415,C2orf54,chr2,2797
gene_2416,C2orf55,chr2,3869
gene_2417,C2orf56,chr2,2350
gene_2418,C2orf57,chr2,1420
gene_2419,C2orf58,chr2,1753
gene_2420,C2orf60,chr2,11896
gene_2421,C2orf61,chr2,2969
gene_2422,C2orf62,chr2,1323
gene_2423,C2orf63,chr2,5457
gene_2424,C2orf64,chr2,1767
gene_2425,C2orf65,chr2,2929
gene_2426,C2orf66,chr2,2256
gene_2427,C2orf67,chr2,10036
gene_2428,C2orf68,chr2,6019
gene_2429,C2orf69,chr2,3728
gene_2430,C2orf70,chr2,2784
gene_2431,C2orf71,chr2,7046
gene_2432,C2orf72,chr2,3732
gene_2433,C2orf73,chr2,1955
gene_2434,C2orf74,chr2,1249
gene_2435,C2orf76,chr2,1411
gene_2436,C2orf77,chr2,4667
gene_2437,C2orf78,chr2,3045
gene_2438,C2orf79,chr2,572
gene_2439,C2orf7,chr2,1083
gene_2440,C2orf80,chr2,1214
gene_2441,C2orf81,chr2,2229
gene_2442,C2orf82,chr2,465
gene_2443,C2orf83,chr2,2087
gene_2444,C2orf84,chr2,2045
gene_2445,C2orf85,chr2,1798
gene_2446,C2orf86,chr2,8896
gene_2447,C2orf88,chr2,4627
gene_2448,C2orf89,chr2,4712
gene_2449,C2,chr6,4762
gene_2450,C3AR1,chr12,1955
gene_2451,C3P1,chr19,3763
gene_2452,C3orf10,chr3,1176
gene_2453,C3orf14,chr3,977
gene_2454,C3orf15,chr3,7737
gene_2455,C3orf16,chr3,4826
gene_2456,C3orf17,chr3,5821
gene_2457,C3orf18,chr3,3002
gene_2458,C3orf19,chr3,3454
gene_2459,C3orf1,chr3,1634
gene_2460,C3orf20,chr3,5518
gene_2461,C3orf21,chr3,3481
gene_2462,C3orf22,chr3,947
gene_2463,C3orf23,chr3,5648
gene_2464,C3orf24,chr3,1662
gene_2465,C3orf26,chr3,3309
gene_2466,C3orf27,chr3,2697
gene_2467,C3orf30,chr3,1947
gene_2468,C3orf31,chr3,3683
gene_2469,C3orf32,chr3,5671
gene_2470,C3orf33,chr3,1931
gene_2471,C3orf34,chr3,2160
gene_2472,C3orf35,chr3,2969
gene_2473,C3orf36,chr3,1667
gene_2474,C3orf37,chr3,1993
gene_2475,C3orf38,chr3,2630
gene_2476,C3orf39,chr3,2592
gene_2477,C3orf42,chr3,1328
gene_2478,C3orf43,chr3,2053
gene_2479,C3orf45,chr3,1434
gene_2480,C3orf47,chr3,2193
gene_2481,C3orf48,chr3,3569
gene_2482,C3orf49,chr3,1289
gene_2483,C3orf50,chr3,4213
gene_2484,C3orf51,chr3,2255
gene_2485,C3orf52,chr3,5847
gene_2486,C3orf54,chr3,1040
gene_2487,C3orf55,chr3,2755
gene_2488,C3orf57,chr3,2306
gene_2489,C3orf58,chr3,4593
gene_2490,C3orf59,chr3,3367
gene_2491,C3orf62,chr3,4076
gene_2492,C3orf63,chr3,13037
gene_2493,C3orf64,chr3,5029
gene_2494,C3orf65,chr3,3258
gene_2495,C3orf66,chr3,2524
gene_2496,C3orf67,chr3,9348
gene_2497,C3orf70,chr3,5901
gene_2498,C3orf71,chr3,1598
gene_2499,C3orf72,chr3,4075
gene_2500,C3orf74,chr3,3019
gene_2501,C3orf75,chr3,1837
gene_2502,C3orf77,chr3,5334
gene_2503,C3orf79,chr3,580
gene_2504,C3,chr19,5101
gene_2505,C4A,chr6,2662
gene_2506,C4BPA,chr1,2243
gene_2507,C4BPB,chr1,2341
gene_2508,C4orf10,chr4,8690
gene_2509,C4orf11,chr4,1037
gene_2510,C4orf12,chr4,1739
gene_2511,C4orf14,chr4,2272
gene_2512,C4orf17,chr4,1829
gene_2513,C4orf19,chr4,3794
gene_2514,C4orf21,chr4,7791
gene_2515,C4orf22,chr4,946
gene_2516,C4orf23,chr4,7377
gene_2517,C4orf26,chr4,3818
gene_2518,C4orf27,chr4,1216
gene_2519,C4orf29,chr4,3147
gene_2520,C4orf31,chr4,2871
gene_2521,C4orf32,chr4,2726
gene_2522,C4orf33,chr4,2438
gene_2523,C4orf34,chr4,1682
gene_2524,C4orf35,chr4,1544
gene_2525,C4orf36,chr4,908
gene_2526,C4orf37,chr4,1654
gene_2527,C4orf38,chr4,2179
gene_2528,C4orf39,chr4,2174
gene_2529,C4orf3,chr4,3438
gene_2530,C4orf40,chr4,4921
gene_2531,C4orf41,chr4,5118
gene_2532,C4orf42,chr4,2930
gene_2533,C4orf43,chr4,1918
gene_2534,C4orf44,chr4,1670
gene_2535,C4orf45,chr4,960
gene_2536,C4orf46,chr4,6878
gene_2537,C4orf47,chr4,974
gene_2538,C4orf48,chr4,559
gene_2539,C4orf49,chr4,1339
gene_2540,C4orf50,,
gene_2541,C4orf51,chr4,845
gene_2542,C4orf52,chr4,1014
gene_2543,C4orf6,chr4,872
gene_2544,C4orf7,chr4,565
gene_2545,C5AR1,chr19,2342
gene_2546,C5orf13,chr5,7252
gene_2547,C5orf15,chr5,2281
gene_2548,C5orf20,chr5,3135
gene_2549,C5orf22,chr5,4016
gene_2550,C5orf23,,
gene_2551,C5orf24,chr5,5617
gene_2552,C5orf25,chr5,4737
gene_2553,C5orf27,chr5,2051
gene_2554,C5orf28,chr5,3155
gene_2555,C5orf30,chr5,3378
gene_2556,C5orf32,chr5,1797
gene_2557,C5orf33,chr5,4174
gene_2558,C5orf34,chr5,3378
gene_2559,C5orf35,chr5,1922
gene_2560,C5orf36,chr5,9200
gene_2561,C5orf38,chr5,1051
gene_2562,C5orf39,chr5,1266
gene_2563,C5orf40,chr5,2126
gene_2564,C5orf41,chr5,10702
gene_2565,C5orf42,chr5,12776
gene_2566,C5orf43,chr5,3056
gene_2567,C5orf44,chr5,4489
gene_2568,C5orf45,chr5,1978
gene_2569,C5orf46,chr5,988
gene_2570,C5orf47,chr5,2755
gene_2571,C5orf48,chr5,459
gene_2572,C5orf49,chr5,2385
gene_2573,C5orf4,chr5,2997
gene_2574,C5orf51,chr5,5222
gene_2575,C5orf52,chr5,697
gene_2576,C5orf53,chr5,2871
gene_2577,C5orf54,chr5,2881
gene_2578,C5orf55,chr5,1616
gene_2579,C5orf56,chr5,1840
gene_2580,C5orf58,chr5,1432
gene_2581,C5orf60,chr5,1371
gene_2582,C5orf62,chr5,2334
gene_2583,C5,chr9,6016
gene_2584,C6orf103,chr6,7357
gene_2585,C6orf105,chr6,2906
gene_2586,C6orf106,chr6,4418
gene_2587,C6orf108,chr6,1161
gene_2588,C6orf10,chr6,4225
gene_2589,C6orf114,,
gene_2590,C6orf115,chr6,908
gene_2591,C6orf118,chr6,2414
gene_2592,C6orf120,chr6,4146
gene_2593,C6orf122,chr6,2418
gene_2594,C6orf123,chr6,1650
gene_2595,C6orf124,chr6,2311
gene_2596,C6orf125,chr6,1680
gene_2597,C6orf126,chr6,488
gene_2598,C6orf127,chr6,477
gene_2599,C6orf129,chr6,620
gene_2600,C6orf130,chr6,2466
gene_2601,C6orf132,chr6,6742
gene_2602,C6orf134,chr6,4930
gene_2603,C6orf136,chr6,2244
gene_2604,C6orf138,chr6,5336
gene_2605,C6orf141,chr6,1696
gene_2606,C6orf142,chr6,6540
gene_2607,C6orf145,chr6,2194
gene_2608,C6orf146,chr6,2929
gene_2609,C6orf147,chr6,1444
gene_2610,C6orf150,chr6,1802
gene_2611,C6orf153,chr6,1159
gene_2612,C6orf154,chr6,2254
gene_2613,C6orf155,chr6,2933
gene_2614,C6orf15,chr6,1136
gene_2615,C6orf162,chr6,2803
gene_2616,C6orf163,chr6,1304
gene_2617,C6orf164,chr6,573
gene_2618,C6orf165,chr6,4414
gene_2619,C6orf167,chr6,11586
gene_2620,C6orf168,chr6,9760
gene_2621,C6orf170,chr6,6439
gene_2622,C6orf174,chr6,12231
gene_2623,C6orf176,chr6,4122
gene_2624,C6orf182,chr6,3385
gene_2625,C6orf186,chr6,1402
gene_2626,C6orf191,chr6,545
gene_2627,C6orf192,chr6,3169
gene_2628,C6orf195,chr6,2070
gene_2629,C6orf1,chr6,1479
gene_2630,C6orf201,chr6,4209
gene_2631,C6orf203,chr6,1589
gene_2632,C6orf204,chr6,9759
gene_2633,C6orf208,chr6,2566
gene_2634,C6orf211,chr6,2572
gene_2635,C6orf217,chr6,2561
gene_2636,C6orf218,chr6,3018
gene_2637,C6orf221,chr6,1022
gene_2638,C6orf222,chr6,3735
gene_2639,C6orf223,chr6,3750
gene_2640,C6orf225,chr6,2671
gene_2641,C6orf226,chr6,552
gene_2642,C6orf227,chr6,2107
gene_2643,C6orf25,chr6,4671
gene_2644,C6orf26,,
gene_2645,C6orf27,chr6,3073
gene_2646,C6orf35,chr6,5027
gene_2647,C6orf41,chr6,977
gene_2648,C6orf47,chr6,2475
gene_2649,C6orf48,chr6,842
gene_2650,C6orf52,chr6,972
gene_2651,C6orf57,chr6,525
gene_2652,C6orf58,chr6,1201
gene_2653,C6orf59,chr6,1851
gene_2654,C6orf62,chr6,2472
gene_2655,C6orf64,chr6,6327
gene_2656,C6orf70,chr6,3313
gene_2657,C6orf72,chr6,1698
gene_2658,C6orf81,chr6,1703
gene_2659,C6orf89,chr6,7394
gene_2660,C6orf94,chr6,1601
gene_2661,C6orf97,chr6,5283
gene_2662,C6,chr5,3967
gene_2663,C7orf10,chr7,1773
gene_2664,C7orf11,chr7,941
gene_2665,C7orf13,chr7,2289
gene_2666,C7orf16,chr7,1966
gene_2667,C7orf23,chr7,1043
gene_2668,C7orf25,chr7,4376
gene_2669,C7orf26,chr7,2372
gene_2670,C7orf27,chr7,6129
gene_2671,C7orf28A,chr7,1824
gene_2672,C7orf28B,chr7,3663
gene_2673,C7orf29,chr7,2874
gene_2674,C7orf30,chr7,755
gene_2675,C7orf31,chr7,3609
gene_2676,C7orf33,chr7,1354
gene_2677,C7orf34,chr7,768
gene_2678,C7orf36,chr7,871
gene_2679,C7orf40,chr7,3619
gene_2680,C7orf41,chr7,6905
gene_2681,C7orf42,chr7,4238
gene_2682,C7orf43,chr7,3503
gene_2683,C7orf44,chr7,5588
gene_2684,C7orf45,chr7,1156
gene_2685,C7orf46,chr7,6973
gene_2686,C7orf47,chr7,930
gene_2687,C7orf49,chr7,5452
gene_2688,C7orf4,chr7,611
gene_2689,C7orf50,chr7,1487
gene_2690,C7orf51,chr7,3799
gene_2691,C7orf52,chr7,4279
gene_2692,C7orf53,chr7,2087
gene_2693,C7orf54,chr7,2569
gene_2694,C7orf55,chr7,1210
gene_2695,C7orf57,chr7,2310
gene_2696,C7orf58,chr7,6619
gene_2697,C7orf59,chr7,612
gene_2698,C7orf60,chr7,4020
gene_2699,C7orf61,chr7,1004
gene_2700,C7orf63,chr7,4431
gene_2701,C7orf64,chr7,5733
gene_2702,C7orf65,chr7,2911
gene_2703,C7orf66,chr7,422
gene_2704,C7orf68,chr7,1492
gene_2705,C7orf69,chr7,2903
gene_2706,C7orf70,chr7,2214
gene_2707,C7orf71,chr7,2056
gene_2708,C7orf72,chr7,1404
gene_2709,C7,chr5,4190
gene_2710,C8A,chr1,2392
gene_2711,C8B,chr1,2388
gene_2712,C8G,chr9,877
gene_2713,C8ORFK29,chr8,1896
gene_2714,C8orf12,chr8,1596
gene_2715,C8orf22,chr8,3808
gene_2716,C8orf30A,chr8,5518
gene_2717,C8orf31,chr8,2157
gene_2718,C8orf33,chr8,2750
gene_2719,C8orf34,chr8,8946
gene_2720,C8orf37,chr8,3373
gene_2721,C8orf38,chr8,3196
gene_2722,C8orf39,chr8,709
gene_2723,C8orf40,chr8,2005
gene_2724,C8orf41,chr8,4882
gene_2725,C8orf42,chr8,5590
gene_2726,C8orf44,chr8,2109
gene_2727,C8orf45,chr8,7109
gene_2728,C8orf46,chr8,3628
gene_2729,C8orf47,chr8,1550
gene_2730,C8orf48,chr8,1446
gene_2731,C8orf4,chr8,1841
gene_2732,C8orf51,chr8,2013
gene_2733,C8orf55,chr8,2715
gene_2734,C8orf56,chr8,496
gene_2735,C8orf58,chr8,2144
gene_2736,C8orf59,chr8,1276
gene_2737,C8orf71,chr8,1875
gene_2738,C8orf73,chr8,3425
gene_2739,C8orf74,chr8,1228
gene_2740,C8orf75,chr8,1398
gene_2741,C8orf76,chr8,1342
gene_2742,C8orf77,chr8,3236
gene_2743,C8orf79,chr8,11593
gene_2744,C8orf80,chr8,3887
gene_2745,C8orf83,chr8,4859
gene_2746,C8orf84,chr8,3798
gene_2747,C8orf85,chr8,1786
gene_2748,C8orf86,chr8,2250
gene_2749,C9orf100,chr9,7726
gene_2750,C9orf102,chr9,8222
gene_2751,C9orf103,chr9,2001
gene_2752,C9orf106,chr9,843
gene_2753,C9orf109,chr9,5802
gene_2754,C9orf110,chr9,5806
gene_2755,C9orf114,chr9,4286
gene_2756,C9orf116,chr9,1922
gene_2757,C9orf117,chr9,1993
gene_2758,C9orf119,chr9,1577
gene_2759,C9orf11,chr9,1382
gene_2760,C9orf122,chr9,2016
gene_2761,C9orf123,chr9,3037
gene_2762,C9orf125,chr9,2089
gene_2763,C9orf128,chr9,3283
gene_2764,C9orf129,chr9,1154
gene_2765,C9orf130,chr9,11435
gene_2766,C9orf131,chr9,3673
gene_2767,C9orf135,chr9,1055
gene_2768,C9orf139,chr9,3815
gene_2769,C9orf140,chr9,3833
gene_2770,C9orf142,chr9,812
gene_2771,C9orf144B,chr9,4298
gene_2772,C9orf144,chr9,6130
gene_2773,C9orf150,chr9,2690
gene_2774,C9orf152,chr9,2656
gene_2775,C9orf153,chr9,2035
gene_2776,C9orf156,chr9,3905
gene_2777,C9orf163,chr9,2573
gene_2778,C9orf167,chr9,4069
gene_2779,C9orf169,chr9,740
gene_2780,C9orf16,chr9,1435
gene_2781,C9orf170,chr9,3409
gene_2782,C9orf171,chr9,1789
gene_2783,C9orf172,chr9,2931
gene_2784,C9orf173,chr9,1897
gene_2785,C9orf21,chr9,1225
gene_2786,C9orf23,chr9,1152
gene_2787,C9orf24,chr9,3898
gene_2788,C9orf25,chr9,6964
gene_2789,C9orf27,chr9,564
gene_2790,C9orf30,chr9,3280
gene_2791,C9orf37,chr9,1452
gene_2792,C9orf3,chr9,7854
gene_2793,C9orf40,chr9,2325
gene_2794,C9orf41,chr9,2193
gene_2795,C9orf43,chr9,2392
gene_2796,C9orf44,chr9,3184
gene_2797,C9orf45,chr9,5984
gene_2798,C9orf46,chr9,1720
gene_2799,C9orf47,chr9,5218
gene_2800,C9orf4,chr9,1189
gene_2801,C9orf50,chr9,1781
gene_2802,C9orf53,chr9,616
gene_2803,C9orf57,chr9,1655
gene_2804,C9orf5,chr9,8188
gene_2805,C9orf64,chr9,2654
gene_2806,C9orf66,chr9,2786
gene_2807,C9orf68,chr9,9812
